"","cuenca","year","month","pp_mes"
"308",101,2004,8,192.2836765565
"309",101,2004,9,193.538800668148
"310",101,2004,10,246.073370934495
"311",101,2004,11,125.977834663528
"312",101,2004,12,90.7387563007231
"313",101,2005,1,54.0650138104077
"314",101,2005,2,6.3604415479
"315",101,2005,3,117.4198183354
"316",101,2005,4,94.3275400454846
"317",101,2005,5,666.802451786231
"318",101,2005,6,489.169817998927
"319",101,2005,7,288.109861533377
"320",101,2005,8,349.522144512946
"321",101,2005,9,98.2198665415923
"322",101,2005,10,80.4019562878
"323",101,2005,11,272.824461179923
"324",101,2005,12,70.3721321625238
"325",101,2006,1,151.884672298558
"326",101,2006,2,46.0858055054231
"327",101,2006,3,118.278986092031
"328",101,2006,4,229.688881342308
"329",101,2006,5,233.254090426046
"330",101,2006,6,554.993015526854
"331",101,2006,7,508.150959842321
"332",101,2006,8,305.423780747123
"333",101,2006,9,188.165004775367
"334",101,2006,10,207.423986195239
"335",101,2006,11,76.0610793676692
"336",101,2006,12,196.113591197556
"337",101,2007,1,34.3640224174154
"338",101,2007,2,60.3789536593208
"339",101,2007,3,49.2280023048469
"340",101,2007,4,218.408505240279
"341",101,2007,5,126.398133042666
"342",101,2007,6,283.704471254505
"343",101,2007,7,353.957405570098
"344",101,2007,8,212.823041429369
"345",101,2007,9,165.509994994676
"346",101,2007,10,194.335961814672
"347",101,2007,11,61.8182845640955
"348",101,2007,12,65.9200252579674
"349",101,2008,1,53.965588908182
"350",101,2008,2,35.9250981396015
"351",101,2008,3,67.8561234886154
"352",101,2008,4,142.912615441868
"353",101,2008,5,408.553126095392
"354",101,2008,6,212.61933092401
"355",101,2008,7,494.271657593554
"356",101,2008,8,574.702801390846
"357",101,2008,9,63.5389101764841
"358",101,2008,10,77.8135316314739
"359",101,2008,11,104.739769552308
"360",101,2008,12,32.6063433765794
"361",101,2009,1,29.1529859873869
"362",101,2009,2,58.7152558396462
"363",101,2009,3,65.6383484194615
"364",101,2009,4,149.286919125549
"365",101,2009,5,496.557541165923
"366",101,2009,6,297.749696359
"367",101,2009,7,197.65500840608
"368",101,2009,8,560.571974483829
"369",101,2009,9,121.522611106506
"370",101,2009,10,308.753229495769
"371",101,2009,11,220.314552153557
"372",101,2009,12,134.320403065195
"373",101,2010,1,57.4306542033661
"374",101,2010,2,133.626047962923
"375",101,2010,3,99.8155798327219
"376",101,2010,4,71.3715938981469
"377",101,2010,5,139.519361715639
"378",101,2010,6,440.703966759015
"379",101,2010,7,324.183470550331
"380",101,2010,8,358.780670712777
"381",101,2010,9,73.1812119728615
"382",101,2010,10,144.041306615462
"383",101,2010,11,120.388767024418
"384",101,2010,12,121.775452090065
"385",101,2011,1,98.7844876218692
"386",101,2011,2,47.3567736961538
"387",101,2011,3,146.502107788674
"388",101,2011,4,196.673205509885
"389",101,2011,5,168.58156344536
"390",101,2011,6,300.408671387005
"391",101,2011,7,306.512367544185
"392",101,2011,8,368.712073242231
"393",101,2011,9,264.074354133199
"394",101,2011,10,59.9314221491231
"395",101,2011,11,104.143673159974
"396",101,2011,12,35.7070155642423
"397",101,2012,1,136.223184160147
"398",101,2012,2,189.603899413003
"399",101,2012,3,59.8482396007462
"400",101,2012,4,78.6359028467539
"401",101,2012,5,340.303294057585
"402",101,2012,6,441.653409198409
"403",101,2012,7,183.700294087885
"404",101,2012,8,249.951688493923
"405",101,2012,9,123.456018071851
"406",101,2012,10,85.3012285288722
"407",101,2012,11,44.2357377341662
"408",101,2012,12,369.624625548856
"409",101,2013,1,29.0314055662115
"410",101,2013,2,141.421186239462
"411",101,2013,3,60.6151360687
"412",101,2013,4,151.32059641263
"413",101,2013,5,358.146532940931
"414",101,2013,6,272.144675429699
"415",101,2013,7,239.374106598176
"416",101,2013,8,309.346313640446
"417",101,2013,9,247.2617100988
"418",101,2013,10,82.0674869928485
"419",101,2013,11,124.478790726523
"420",101,2013,12,28.5059053176154
"421",101,2014,1,136.830509941923
"422",101,2014,2,58.20157553
"423",101,2014,3,160.605528308696
"424",101,2014,4,137.919514863941
"425",101,2014,5,334.549941257103
"426",101,2014,6,410.011346118808
"427",101,2014,7,404.072566498462
"428",101,2014,8,250.277300590615
"429",101,2014,9,307.863417134308
"430",101,2014,10,153.232780998403
"431",101,2014,11,72.5012348275723
"432",101,2014,12,48.5240852913631
"433",101,2015,1,0.275530803584616
"434",101,2015,2,15.5216629684615
"435",101,2015,3,42.4000572938085
"436",101,2015,4,127.143590836231
"437",101,2015,5,426.9950447087
"438",101,2015,6,397.947883296685
"439",101,2015,7,499.740051007454
"440",101,2015,8,432.977128733614
"441",101,2015,9,182.903770986114
"442",101,2015,10,106.281580077485
"443",101,2015,11,86.09467471305
"444",101,2015,12,102.800197851273
"445",101,2016,1,40.4220652755877
"446",101,2016,2,31.4700026317692
"447",101,2016,3,37.7617009792077
"448",101,2016,4,162.29313511089
"449",101,2016,5,96.8457719148846
"450",101,2016,6,45.4230038851089
"451",101,2016,7,296.091624320885
"452",101,2016,8,331.113367542247
"453",101,2016,9,112.431935208482
"454",101,2016,10,177.379923250042
"455",101,2016,11,86.1669955641608
"456",101,2016,12,128.426397265746
"457",101,2017,1,83.5778736786077
"458",101,2017,2,108.282910472754
"459",101,2017,3,88.1523136450154
"460",101,2017,4,156.672506671777
"461",101,2017,5,241.274834911132
"462",101,2017,6,360.414068913531
"463",101,2017,7,235.628751809538
"464",101,2017,8,468.249248886438
"465",101,2017,9,133.401317363085
"466",101,2017,10,311.442841073267
"467",101,2017,11,70.1133607457692
"468",101,2017,12,101.381377421592
"469",101,2018,1,69.4705360549561
"470",101,2018,2,28.345870306353
"471",101,2018,3,234.883882856518
"472",101,2018,4,248.532847420431
"473",101,2018,5,210.440722648108
"474",101,2018,6,338.993643527615
"475",101,2018,7,210.425562537569
"476",101,2018,8,296.450816586169
"477",101,2018,9,290.990292024585
"478",101,2018,10,211.815713356769
"479",101,2018,11,184.722091564285
"480",101,2018,12,71.1188945297585
"481",101,2019,1,34.0109270716077
"482",101,2019,2,25.8216651803846
"483",101,2019,3,49.4778172288054
"484",101,2019,4,84.9893197351079
"485",101,2019,5,288.326036388866
"486",101,2019,6,429.399046219612
"487",101,2019,7,465.613666057956
"488",101,2019,8,221.986000908382
"489",101,2019,9,120.230556317046
"490",101,2019,10,122.9978056967
"491",101,2019,11,115.184132057738
"492",101,2019,12,48.5572336327562
"493",101,2020,1,54.1829441931708
"494",101,2020,2,49.6132627471333
"495",101,2020,3,59.8854518665385
"496",101,2020,4,123.129918488462
"497",101,2020,5,0
"498",101,2020,6,0
"499",101,2020,7,0
"500",101,2020,8,0
"501",101,2020,9,0
"502",101,2020,10,0
"503",101,2020,11,0
"504",101,2020,12,0
"505",103,1979,1,55.0556652218556
